age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3,0,40,United-States,<=50K
34,State-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Other-relative,Black,Female,1,0,35,United-States,<=50K
22,Private,11th,Never-married,Handlers-cleaners,Husband,White,Male,4,0,36,United-States,<=50K
22,Private,Assoc-acdm,Separated,Adm-clerical,Unmarried,Black,Female,0,0,20,United-States,<=50K
59,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,6,0,36,United-States,<=50K
31,Private,5th-6th,Married-AF-spouse,Other-service,Wife,White,Female,7519,0,39,Guatemala,<=50K
24,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,5,0,36,United-States,<=50K
21,Local-gov,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,-1,0,70,El-Salvador,<=50K
18,Private,Some-college,Never-married,Sales,Own-child,White,Male,1,0,21,United-States,<=50K
27,State-gov,Some-college,Widowed,Sales,Unmarried,White,Female,4,0,38,United-States,<=50K
23,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,4,0,40,Mexico,<=50K
29,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,20,United-States,<=50K
32,Private,7th-8th,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,2,0,58,United-States,<=50K
60,Private,7th-8th,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
53,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,-1,0,44,United-States,<=50K
35,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,70,United-States,<=50K
30,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,7,0,45,United-States,<=50K
48,Private,7th-8th,Divorced,Prof-specialty,Unmarried,White,Male,6,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Male,3,0,40,Cuba,<=50K
33,Self-emp-not-inc,HS-grad,Never-married,Sales,Own-child,White,Female,1,0,24,United-States,<=50K
24,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,4,0,40,United-States,>50K
23,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,5,0,40,United-States,<=50K
29,Private,HS-grad,Never-married,Exec-managerial,Own-child,Black,Female,2,1872,35,United-States,<=50K
29,Private,Doctorate,Never-married,Protective-serv,Not-in-family,Black,Female,4,0,25,United-States,<=50K
48,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,4,0,40,United-States,<=50K
52,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,<=50K
27,Private,Some-college,Never-married,Sales,Own-child,Black,Male,3,0,40,United-States,<=50K
31,Private,HS-grad,Married-spouse-absent,Other-service,Not-in-family,White,Male,3,0,45,Guatemala,<=50K
62,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,3,0,23,United-States,<=50K
24,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,59,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,10,0,40,United-States,<=50K
21,Private,10th,Never-married,Other-service,Unmarried,Black,Female,2,0,16,United-States,<=50K
39,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,3,0,40,United-States,<=50K
53,Private,5th-6th,Married-civ-spouse,Other-service,Other-relative,White,Female,1,0,32,United-States,<=50K
19,Private,11th,Never-married,Other-service,Own-child,Black,Female,4,0,28,Haiti,<=50K
31,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,6,0,40,Vietnam,<=50K
28,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2,0,45,United-States,<=50K
29,Private,11th,Never-married,Tech-support,Unmarried,White,Female,4,1394,40,China,<=50K
57,Private,7th-8th,Widowed,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,<=50K
27,Private,7th-8th,Never-married,Other-service,Other-relative,Black,Female,4,0,40,United-States,<=50K
56,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Male,4,0,45,United-States,<=50K
45,Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,Black,Male,3,0,40,United-States,<=50K
50,Local-gov,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,6,0,45,United-States,<=50K
48,Private,9th,Divorced,Other-service,Unmarried,White,Male,1,0,50,United-States,<=50K
29,Private,Some-college,Never-married,Machine-op-inspct,Unmarried,White,Female,3,0,40,United-States,<=50K
37,Private,Bachelors,Never-married,Sales,Unmarried,White,Female,4,0,31,United-States,<=50K
59,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
30,Private,HS-grad,Never-married,Protective-serv,Not-in-family,White,Female,1,0,20,United-States,<=50K
23,Private,11th,Never-married,Other-service,Not-in-family,White,Male,1,0,17,United-States,<=50K
47,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2,0,40,United-States,<=50K
