age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,9th,Never-married,Other-service,Unmarried,Black,Female,4,0,40,United-States,<=50K
30,State-gov,HS-grad,Never-married,Protective-serv,Own-child,White,Male,1,0,40,United-States,<=50K
49,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,4,0,40,United-States,<=50K
31,Local-gov,HS-grad,Divorced,Protective-serv,Other-relative,White,Male,4,0,40,United-States,<=50K
18,Private,11th,Never-married,Other-service,Own-child,White,Male,3,0,15,United-States,<=50K
50,Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,16,United-States,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,3,0,45,United-States,<=50K
25,Private,7th-8th,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0,40,United-States,<=50K
23,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,5,0,40,United-States,<=50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,Black,Female,1,0,37,United-States,<=50K
56,Self-emp-inc,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,4,0,40,United-States,<=50K
33,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Male,5,0,40,United-States,<=50K
66,Private,HS-grad,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Other-relative,White,Male,4,0,40,United-States,<=50K
25,Private,Assoc-voc,Never-married,Handlers-cleaners,Not-in-family,White,Male,-1,0,50,United-States,<=50K
23,Private,11th,Never-married,Craft-repair,Other-relative,White,Male,3635,0,70,United-States,<=50K
41,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,40,Ireland,<=50K
29,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,1,0,19,United-States,<=50K
59,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,-1,0,70,Germany,<=50K
37,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,3,0,45,United-States,<=50K
52,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,61,United-States,<=50K
42,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,3680,0,20,United-States,<=50K
23,Private,12th,Never-married,Exec-managerial,Own-child,White,Male,-1,0,40,El-Salvador,<=50K
34,Local-gov,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,-1,0,40,United-States,<=50K
53,Private,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Male,6,0,40,United-States,<=50K
41,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,4,0,40,Mexico,<=50K
47,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,Mexico,<=50K
52,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,3,0,27,United-States,<=50K
42,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,5,0,73,United-States,<=50K
30,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,3160,0,36,United-States,<=50K
32,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,4088,0,33,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,58,United-States,<=50K
58,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K
46,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Unmarried,White,Male,6,0,40,United-States,>50K
53,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,3,0,71,United-States,<=50K
68,Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Male,2,0,40,United-States,<=50K
52,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,78,United-States,>50K
50,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5,0,45,United-States,<=50K
37,Private,HS-grad,Never-married,Farming-fishing,Other-relative,White,Male,5,0,40,United-States,<=50K
53,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,4,0,36,United-States,<=50K
45,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,3,0,36,United-States,<=50K
25,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
29,Federal-gov,Bachelors,Never-married,Prof-specialty,Other-relative,White,Female,4,0,22,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,74,United-States,<=50K
25,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,5,0,35,Outlying-US(Guam-USVI-etc),<=50K
23,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,66,United-States,<=50K
33,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,5,0,61,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,-1,0,40,United-States,<=50K
61,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,36,United-States,<=50K
58,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,14938,0,86,Peru,<=50K
52,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,59,United-States,<=50K
55,State-gov,HS-grad,Married-spouse-absent,Other-service,Not-in-family,White,Male,5,0,70,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,Mexico,<=50K
22,Private,Bachelors,Never-married,Farming-fishing,Other-relative,White,Male,2,0,25,United-States,<=50K
29,Private,11th,Never-married,Other-service,Not-in-family,White,Male,3,0,89,United-States,<=50K
39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,35,United-States,<=50K
37,Private,11th,Divorced,Craft-repair,Unmarried,White,Male,5,0,36,Mexico,<=50K
30,Private,12th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,79,United-States,<=50K
65,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
36,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
