LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
91312.52916635008,Female,2,1,20-40,0,0,0,0,0,0,34344.555924368564,29110.720301940422,76110.73528951257,25153.39020372016,28941.6667581097,36610.51219236954,2943.450799333451,1819.4531817129457,2213.6951635292203,305.5905553029005,1137.465458955,216.5841304967605,0
91021.93918910807,Female,2,1,20-40,0,0,0,0,0,0,97302.30230467288,114180.160105708,94642.977563353,66681.2733046883,72319.36754583447,68447.86031078734,2664.9928464460954,6054.649048077246,1391.6255162616883,1526.0944967545047,3923.269690282792,2999.017629408412,0
127745.87153800097,Female,2,1,20-40,1,2,0,0,0,2,42467.528116093206,45540.41768580349,29383.54653284144,62602.12036884876,51591.5418644911,24631.89649370838,-427.6697050368306,3899.997295158776,7798.299341946758,2868.2541027198604,1178.782668507679,2592.324908333745,0
196496.5730551729,Female,2,2,20-40,0,0,0,0,0,0,74076.77225328478,102098.87202182072,74938.63526559397,66219.41990291027,103319.8075557736,54868.795141671486,2538.319553282133,4482.645055775697,10188.693666538613,24574.46871846788,6961.771712109834,1326.768779161035,0
74947.85263900527,Male,1,1,20-40,0,2,0,0,0,0,80516.15450324625,61660.117533059616,56333.06289237442,37817.84563740442,44103.22812989375,50096.14077998261,1720.36374809568,2071.886882103728,1068.1915255868964,4118.99950402488,3976.601350544881,302.6479919117496,0
242903.12785219355,Male,2,2,20-40,0,0,0,0,0,0,7210.367617015517,25868.360379132173,28585.94870844503,14372.518698634363,13060.734906572836,8495.14573534999,2565.5985947714817,13027.526128646428,1746.3345912594027,1857.7350797815504,6335.287751832871,4990.164705956674,0
289187.5635971795,Female,2,2,20-40,0,0,0,0,0,0,245917.93814202567,204336.25689997527,121505.32595332876,229554.4254073228,235024.3045578293,176276.6436058806,13405.7119317937,5612.725716498249,5961.905482483671,4088.2190458115697,5336.263414344334,8628.823416036767,0
70601.94730348838,Male,3,1,40+,3,2,2,2,2,0,979.0228430569034,1270.3676746196036,7429.682834030173,6921.822113282888,31853.70469483032,41870.24995855572,1092.5711640817988,1479.9223951201195,138.88902475766236,1483.317631859343,1020.01304740901,602.6039864616539,1
150494.98155149937,Female,2,2,20-40,0,0,0,0,0,0,147368.34010458863,130203.85006269524,89908.62482334749,75142.80458559384,119558.610526229,40698.15440029426,753.616250323455,4855.486723559206,5987.911638631052,3525.648551745387,3138.3383010577872,2771.697095679232,0
136639.67991887222,Female,2,1,20-40,-2,-2,-2,-2,-2,-2,11478.097695074051,3401.010837660836,1166.4689951388093,885.1861687157412,48424.68779797568,2190.748162068144,4240.290306342843,-674.6833927923753,5910.5009283664485,5217.914987774288,3198.829750859314,47.909491941131705,0
486503.7501638523,Female,3,2,40+,0,0,0,0,0,0,313641.35425508925,375323.1714246037,531998.0020915007,171669.660355453,354614.96931232826,191315.07488911643,12107.405982896042,7399.4814298309875,10000.232266021809,9104.0692722584,37462.14582647938,8986.415445051996,0
209706.26170863773,Female,2,1,20-40,0,0,0,0,0,0,40140.36536211974,26027.421288666123,41060.42305415941,56882.71268293816,24425.691504012226,16725.374872170316,6263.208657576137,1847.1013649310348,13365.693646515632,2250.909449834491,2071.952570921293,12753.873635375854,0
488988.5414247511,Female,6,2,20-40,1,-2,-1,-1,0,0,19784.511411775653,29798.47999588743,6902.8578440612455,61285.51388033257,95300.86651478035,43332.69732802953,1968.7984850728897,57771.12887158385,193911.93646334292,56176.86524869651,27829.995767575805,95163.84038063687,0
171390.49631003872,Female,2,1,40+,0,0,0,0,0,0,38672.93971029691,105944.04373561309,79774.70546940716,72508.73682929439,66195.34155369934,60828.67569593295,2958.539557014859,3423.1521073311505,1197.124378612286,2501.8441795246863,6077.860326417441,2896.1041211269344,0
220108.6017247648,Female,2,1,40+,-1,-1,-2,-1,-2,-1,-546.7886631891306,844.8986877091547,-176.60281503194562,7307.874714684248,1189.6840966378577,5710.332124489563,3419.471714756188,5380.227503958982,8618.20461307254,2158.743690097863,26.06442348601942,-172.72317520660675,0
