age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay,two_year_recid
34,M,African-American,25 - 45,High,Male,3,-1,9,0,0,0,0.4847259282785655,32,1
30,F,Caucasian,25 - 45,Low,Male,1,0,3,0,0,0,0.2287049938606893,27,1
29,M,Caucasian,25 - 45,High,Male,0,-1,8,0,0,0,0.4876503617091818,30,0
37,M,African-American,25 - 45,Low,Male,1,0,4,0,0,0,0.502762566483115,9,0
38,M,Caucasian,25 - 45,Low,Male,1,0,4,0,0,0,1.6475097126678862,32,0
49,M,Caucasian,25 - 45,High,Male,14,-1,9,0,1,2,0.4996533904350531,14,0
29,F,African-American,25 - 45,High,Male,0,-1,10,0,0,0,-0.9411246724701068,17,1
23,F,Caucasian,Less than 25,High,Male,0,-1,10,0,0,0,-0.783294166943566,13,0
52,F,African-American,Greater than 45,Medium,Male,3,0,6,0,0,0,1.5416703846418938,43,1
28,M,African-American,Greater than 45,High,Male,0,-1,9,0,0,0,-0.3760197411628188,20,1
35,F,African-American,25 - 45,Low,Male,7,0,3,0,0,0,0.4622297367065423,20,1
57,F,Caucasian,Greater than 45,High,Male,0,-1,9,0,0,0,0.9654591648653934,42,1
57,M,African-American,Greater than 45,Low,Male,3,-1,3,0,0,0,0.7225195597640127,45,1
32,F,Caucasian,25 - 45,High,Male,5,-1,9,0,0,0,1.2755749182587377,40,1
27,F,African-American,Less than 25,Medium,Male,0,0,6,0,0,1,-1.8125259203380504,31,1
35,M,Caucasian,25 - 45,Low,Male,1,-1,3,0,0,0,2.1942494307468925,26,0
50,F,Caucasian,25 - 45,High,Male,12,-1,9,0,0,0,-1.978707690700228,31,1
54,F,African-American,Greater than 45,Low,Male,3,0,3,0,0,0,1.1435528774704022,224,1
36,F,Caucasian,25 - 45,High,Male,12,-1,8,0,0,0,0.4446444041592012,8,0
29,M,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,0,0.2700360152113835,14,0
35,F,Caucasian,25 - 45,High,Male,13,-1,10,0,0,0,0.3564982149150301,31,1
25,F,Caucasian,25 - 45,High,Male,21,-1,10,0,0,0,0.5010906934443978,2801,1
23,M,African-American,Less than 25,Medium,Male,1,-1,7,0,0,0,0.7051369403761235,18,1
26,F,Caucasian,25 - 45,High,Male,0,-1,10,0,0,0,0.6513555327159725,27,0
21,M,Caucasian,25 - 45,High,Male,3,0,9,0,0,0,-0.3554376165251913,28,1
32,F,African-American,25 - 45,High,Male,5,-1,9,0,0,0,-0.0759104643902455,26,1
22,F,African-American,Less than 25,Medium,Male,0,-1,5,0,0,0,0.910644893496396,19,1
23,F,Caucasian,Less than 25,Low,Male,2,-3,3,0,0,0,3.769459332432623,10,0
31,F,Caucasian,25 - 45,High,Male,0,-1,8,0,0,0,0.0363636280260908,17,0
53,M,Caucasian,Greater than 45,Low,Male,3,0,3,0,0,0,3.2070381382054403,38,0
28,F,Caucasian,Less than 25,High,Male,13,-1,9,0,0,0,0.6070863277472176,25,0
51,F,African-American,25 - 45,Medium,Male,0,0,5,0,0,0,-0.7964510542207706,14,1
24,F,African-American,25 - 45,Low,Female,0,-1,3,0,0,0,0.1995754940407563,9,0
22,M,African-American,Less than 25,High,Male,0,-1,5,0,0,0,-2.281743579150933,42,0
33,M,Caucasian,25 - 45,Medium,Male,6,0,5,0,0,0,0.4152017131886172,26,0
54,F,Caucasian,Greater than 45,Low,Female,4,0,1,0,0,0,1.3183799207758014,29,1
26,F,Caucasian,Less than 25,High,Male,1,-1,10,0,0,0,1.189949532542321,36,0
21,M,Caucasian,Less than 25,Medium,Male,0,-1,6,0,0,0,0.3726552297240297,23,0
53,F,Caucasian,Greater than 45,Medium,Male,6,0,3,0,0,0,2.1607062568977904,71,1
21,F,Caucasian,Less than 25,High,Male,3,-1,10,0,0,0,-1.2616552919855375,42,0
30,F,African-American,Less than 25,Low,Male,1,-1,3,0,0,0,1.263851591191557,26,1
54,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,0,2.077687390025197,28,0
22,M,Caucasian,Less than 25,Low,Male,1,-25,4,0,0,0,20.45132611755133,20,0
27,F,Caucasian,Less than 25,High,Male,5,-1,9,2,0,2,-1.4587033742104338,59,0
32,F,Caucasian,25 - 45,High,Male,9,-1,10,0,0,0,-1.8717892282232336,657,0
27,F,Caucasian,25 - 45,High,Male,19,-1,8,0,0,1,1.1226980719806523,45,1
36,F,African-American,25 - 45,Low,Male,0,0,3,0,0,0,1.2712520509864864,113,1
57,M,Caucasian,Greater than 45,Medium,Male,0,0,5,0,0,0,-0.2743641969652706,13,0
49,M,African-American,Greater than 45,Medium,Male,7,-1,9,0,0,0,1.2843194875934831,28,0
32,F,African-American,25 - 45,Low,Male,4,-19,3,0,0,0,8.511928863711752,745,1
23,M,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,0,2.4345607760095893,17,0
49,F,Caucasian,25 - 45,High,Male,9,-1,9,0,0,0,0.8809011278769684,1827,1
24,M,Caucasian,Less than 25,Low,Male,0,-3,4,0,0,0,2.06619693016792,29,0
36,F,Caucasian,Less than 25,Low,Male,0,0,3,0,0,0,0.854604166670573,-7,0
37,F,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,0,1.8827879447640687,28,0
27,F,African-American,Less than 25,High,Male,1,0,5,0,0,0,-1.1147648984673248,184,1
59,M,Caucasian,25 - 45,Low,Male,1,0,4,0,0,0,1.2312359147093024,20,0
35,M,African-American,Less than 25,High,Male,1,-1,4,0,0,0,0.0784901181415116,26,0
38,F,African-American,25 - 45,Low,Female,1,0,3,0,0,0,1.6034038762628269,25,1
21,F,African-American,Less than 25,High,Male,0,-1,9,0,0,0,-1.963027575956748,25,1
21,F,Caucasian,Less than 25,High,Male,0,-1,9,0,2,1,0.5813274617474938,42,0
37,M,Caucasian,25 - 45,Low,Male,1,-1,4,0,0,0,0.7639559538382903,17,0
